theme_id,source_ref,evidence_summary,stock_ids
IC_DESIGN_SERVICE,https://ic.tpex.org.tw/introduce.php?ic=D000,櫃買中心半導體產業鏈列入IP設計IC設計代工服務,2401;3035;3443;5222;6533;6695;3661;3339;3529;6423;6643;8054;8227;8299
WAFER_MANUFACTURING,https://ic.tpex.org.tw/introduce.php?ic=D000,櫃買中心半導體產業鏈列入IC晶圓製造,2303;2330;2337;2340;2344;2371;2408;2434;2455;3016;3532;4919;5222;6770;8028;3105;3707;5347;5483;6182;6488;8086;4991
IC_PACKAGING_TEST,https://ic.tpex.org.tw/introduce.php?ic=D000,櫃買中心半導體產業鏈列入IC封裝測試,1410;1434;2329;2337;2340;2369;2441;2449;3450;3711;6239;6257;6271;8110;8131;8150;8162;3264;3265;3372;3374;3444;3490;3567;4760;5344;6147;6207;6261;7751;7810;8109
PANEL,https://ic.tpex.org.tw/introduce.php?ic=G000,櫃買中心平面顯示器產業鏈列入面板,2371;2409;2459;3038;3481;6116;6189;6278;6916;8104;8105;5245;5315;8069
DISPLAY_MODULE,https://ic.tpex.org.tw/introduce.php?ic=G000,櫃買中心平面顯示器產業鏈列入顯示器模組,2371;2393;2485;3024;3038;3168;6116;6120;6189;6278;6916;8104;8105;4995;5245;5315;5386;5432;6167;8049;8085
BACKLIGHT_MODULE,https://ic.tpex.org.tw/introduce.php?ic=G000,櫃買中心平面顯示器產業鏈列入背光模組,2371;6120;6176;6278;3531;5371;6246;6577;8085
LED,https://ic.tpex.org.tw/introduce.php?ic=A200,櫃買中心LED照明產業鏈列入光源磊晶封裝模組或LED相關供應鏈,2340;2491;3714;4956;6271;6278;3339;4768;6222;1809;2301;2371;2393;3026;3031;3052;3346;3437;3591;5244;5434;6164;6168;6226;3066;3444;5230;6207;6261;8085;8111
RESISTOR,https://ic.tpex.org.tw/introduce.php?ic=J000,櫃買中心被動元件產業鏈列入電阻器,2308;2327;2371;2428;2478;2492;6224;6834;3624;3663;6173;6204;6207;6642;8071;8085
CAPACITOR,https://ic.tpex.org.tw/introduce.php?ic=J000,櫃買中心被動元件產業鏈列入電容器,2308;2327;2375;2413;2472;2492;3026;3090;6449;3537;5328;6173;6207;6284;8042;8043;8071
INDUCTOR,https://ic.tpex.org.tw/introduce.php?ic=J000,櫃買中心被動元件產業鏈列入電感器,2308;2327;2492;5434;6155;3207;3236;3357;3624;5228;6156;6173;6259;6284;6292;6432;6821;8071
FILTER_OSCILLATOR,https://ic.tpex.org.tw/introduce.php?ic=J000,櫃買中心被動元件產業鏈列入濾波器或振盪器,2327;2459;2484;2492;3026;3042;6155;3221;3663;6174;6284;6821;8071;8182;8289
MEMORY_IC,https://ic.tpex.org.tw/introduce.php?ic=D000,櫃買中心半導體產業鏈列入記憶體IC,2337;2344;2408;3006;6531;5351
MCU_IC,https://ic.tpex.org.tw/introduce.php?ic=D000,櫃買中心半導體產業鏈列入微控制器IC,2308;2436;2458;3014;3034;4952;5471;6202;3122;3228;5236;5487;6129;6229;6679;6716;8024;6907
PMIC,https://ic.tpex.org.tw/introduce.php?ic=D000,櫃買中心半導體產業鏈列入電源管理IC,2308;2436;2454;3034;3257;3588;3592;4952;4961;6719;6756;6799;8016;8081;8261;6415;3122;3288;3317;3438;3527;4923;5299;6129;6130;6138;6291;6435;6651;6679;6693;7712
MECHANICAL_TRANSMISSION,https://ic.tpex.org.tw/introduce.php?ic=P000,櫃買中心電機機械產業鏈列入傳動元件,1504;1526;1536;1597;2049;2233;2308;4540;4576;4583;4590;1590;2248;3426;4528;4534;4561;4568;4580;4584;6982
INDUSTRIAL_CONTROL_COMPONENTS,https://ic.tpex.org.tw/introduce.php?ic=P000,櫃買中心電機機械產業鏈列入電控元件,1303;1504;1533;1597;2308;2459;2483;4555;7750;7788;3426;4549;4584;5381;7642;8109
HARD_PCB,https://ic.tpex.org.tw/introduce.php?ic=L000,櫃買中心PCB產業鏈內文點名主要硬板供應商並由近期法人媒體持續追蹤,2313;2367;3037;3044;4958;5469
FPCB,https://ic.tpex.org.tw/introduce.php?ic=L000,櫃買中心PCB產業鏈內文點名主要軟板供應商,4958;6153;6269
IC_SUBSTRATE,https://ic.tpex.org.tw/introduce.php?ic=L000,櫃買中心PCB產業鏈內文點名IC載板主要供應商且近期法人媒體反覆追蹤,3037;3189;8046
PCB_PROCESS_EQUIPMENT,https://ic.tpex.org.tw/introduce.php?ic=L000,櫃買中心PCB產業鏈列入生產製程及檢測設備且2026年法人媒體持續追蹤載板與高階PCB擴產設備商,1528;2467;2493;3010;3030;3535;3563;6438;6658;6706;7730;7795;8438;1595;1785;3093;3455;3485;3498;4542;4577;5536;6664;6727;6877
PCB_GLASS_FIBER,https://ic.tpex.org.tw/introduce.php?ic=L000,櫃買中心PCB產業鏈列入玻璃纖維與玻纖布並受AI高階PCB材料升級題材反覆關注,1303;1802;1815;3388;5340;5475;8240
PCB_COPPER_FOIL,https://ic.tpex.org.tw/introduce.php?ic=L000,櫃買中心PCB產業鏈列入銅箔且法人媒體持續追蹤高頻高速與高階PCB銅箔需求,1303;4989;3388;8358
AI_SERVER_CONNECTOR,https://ic.tpex.org.tw/introduce.php?ic=K000,櫃買中心連接器產業鏈明確指出AI伺服器資料中心需求且2026年法人媒體反覆點名相關廠商,3526;3533;3605;3665;3689;6197;6715;7861
HIGH_SPEED_CONNECTOR,https://ic.tpex.org.tw/introduce.php?ic=K000,櫃買中心指出高頻高速傳輸連接器為AI主流且公司與法人資訊明確支持高速互連產品,3526;3533;3665
HIGH_POWER_CONNECTOR,https://ic.tpex.org.tw/introduce.php?ic=K000,櫃買中心指出高壓連接器受AI需求帶動且公司與法人資訊明確支持高功率大電流產品,3526;3665
AUTOMOTIVE_CONNECTOR,https://ic.tpex.org.tw/introduce.php?ic=K000,連接器產業鏈加上2026年法人與財經媒體反覆確認車用連接器及高壓高頻車載應用,6279;3023;3665;3003
VEHICLE_WIRE_HARNESS,https://ic.tpex.org.tw/introduce.php?ic=K000,2026年公司與財經媒體反覆確認車用線束高階電纜與移動載具互連系統應用,6279;3023;3665
POWER_SUPPLY,https://www.moneydj.com/KMDJ/News/NewsViewer.aspx?a=43b9ef80-24de-4893-b9b2-363bf6593a21,2026年多篇法人與公司資訊確認AI資料中心HVDC及800VDC電源核心供應商,2308;2301;6282
UPS_BBU,https://www.moneydj.com/z/DJA/News/DJANewsDetail_CA3E3C95-EAB9-4A9E-B80F-41AC43855AB5.djhtm,2026年法人與財經媒體反覆確認AI伺服器BBU主要供應商與需求成長,6781;3211;4931;6121
