stock_id,company,market_eligibility,primary_segment,secondary_segments,current_robot_theme_ids,evidence_basis,classification_status,next_action
8234,新漢,listed_otc,ROBOT_CONTROL_SYSTEM,ROBOT_EDGE_AI;ROBOT_AMR,ROBOTICS,官方資料明列工業機器人控制器AI邊緣運算電腦與自主移動機器人應用,taxonomy_candidate,user_review_subthemes
2359,所羅門,listed_otc,ROBOT_VISION,ROBOT_SYSTEM_INTEGRATION;ROBOT_AMR,ROBOTICS;ROBOT_VISION,官方資料支持AI 3D機器人視覺整合NVIDIA Isaac多品牌機器人與AMR,taxonomy_candidate,user_review_subthemes
2395,研華,listed_otc,ROBOT_EDGE_AI,ROBOT_AMR;ROBOT_SYSTEM_INTEGRATION,ROBOTICS,官方資料明列robotics edge AI產品及機器人與AMR實際部署平台,taxonomy_candidate,user_review_subthemes
2308,台達電,listed_otc,ROBOT_BODY_PLATFORM,ROBOT_CONTROL_SYSTEM;ROBOT_SYSTEM_INTEGRATION;ROBOT_ACTUATION,ROBOTICS,官方方案涵蓋SCARA關節型模組化協作機器人及motion control與完整控制方案,taxonomy_candidate,user_review_subthemes
2049,上銀,listed_otc,ROBOT_ACTUATION,ROBOT_TRANSMISSION;ROBOT_CONTROL_SYSTEM;ROBOT_END_EFFECTOR,ROBOTICS;ROBOT_COMPONENTS,官方資料明列人形機器人控制驅動精密傳動致動模組與智慧夾爪,taxonomy_candidate,user_review_subthemes
1597,直得,listed_otc,ROBOT_TRANSMISSION,ROBOT_ACTUATION;ROBOT_CONTROL_SYSTEM;ROBOT_BODY_PLATFORM,ROBOTICS;ROBOT_COMPONENTS,官方產品涵蓋線性滑軌伺服馬達驅動器多軸模組與微型六軸機械手臂,taxonomy_candidate,user_review_subthemes
4540,全球傳動,listed_otc,ROBOT_TRANSMISSION,ROBOT_ACTUATION;ROBOT_END_EFFECTOR,ROBOTICS;ROBOT_COMPONENTS,研究證據支持人形機器人線性執行器微型滾珠螺桿及靈巧手布局,taxonomy_candidate,user_review_subthemes
6215,和椿,listed_otc,ROBOT_SYSTEM_INTEGRATION,ROBOT_AMR;ROBOT_BODY_PLATFORM,ROBOTICS,研究證據支持人形機器人實績並結合AMR無人堆高機與智慧工廠流程,taxonomy_candidate,user_review_subthemes
7750,新代,listed_otc,ROBOT_CONTROL_SYSTEM,,ROBOTICS,研究證據定位為控制器大廠並展示機器人與智慧自動化解決方案,taxonomy_candidate,user_review_subthemes
8374,羅昇,listed_otc,ROBOT_SYSTEM_INTEGRATION,,ROBOTICS,研究證據定位為自動化解決方案廠及機器人應用供應鏈,taxonomy_candidate,user_review_subthemes
