stock_id,company,theme_id,theme_name,theme_exists,role,decision,source_type,publisher,published_date,source_url,evidence_summary,confidence,audit_status
2359,所羅門,ROBOTICS,機器人,yes,core,PROMOTE_EXISTING_THEME,company_official,Solomon Technology,2025-01-13,https://www.solomon.com.tw/news-events/%E6%89%80%E7%BE%85%E9%96%80%E3%80%81%E8%BC%9D%E9%81%94ces%E5%90%8C%E6%A1%86-%E7%A7%80%E5%85%88%E9%80%B2%E6%A9%9F%E5%99%A8%E4%BA%BA%E6%8A%80%E8%A1%93/,公司官方說明AI 3D視覺與機器人技術並將解決方案整合NVIDIA Isaac機器人平台且具機器人應用事業處,high,reviewed
2359,所羅門,ROBOT_VISION,機器人視覺,yes,core,PROMOTE_EXISTING_THEME,annual_report,Solomon Technology,2025-11-01,https://www.solomon.com.tw/wp-content/uploads/2025/11/2024-STC-Corporate-Sustainability-Report_EN.pdf,官方永續報告說明長期投入AI vision研發涵蓋3D robot vision AI defect detection並整合多品牌robot PLC camera AMR,high,reviewed
2359,所羅門,AUTOMATION,自動化,yes,core,PROMOTE_EXISTING_THEME,company_official,Solomon Technology,2026-08-20,https://www.solomon.com.tw/products/,公司官網業務明列機械手臂應用自動化控制系統並定位為工業自動化與智慧科技業者,high,reviewed
2359,所羅門,AI_VISION,AI視覺,no,core,PROPOSE_NEW_THEME,annual_report,Solomon Technology,2025-11-01,https://www.solomon.com.tw/wp-content/uploads/2025/11/2024-STC-Corporate-Sustainability-Report_EN.pdf,公司官方將AI vision視為持續研發與產品平台並已落地多產業應用,high,staging_only
2395,研華,INDUSTRIAL_PC,工業電腦,yes,core,PROMOTE_EXISTING_THEME,company_official,Advantech,2026-08-20,https://www.advantech.com/zh-tw,公司官方核心解決方案包含Industrial and Edge Servers及工業設備平台,high,reviewed
2395,研華,AUTOMATION,自動化,yes,core,PROMOTE_EXISTING_THEME,company_official,Advantech,2026-08-20,https://www.advantech.com/zh-tw/industrial-automation/industry4.0/,官方工業4.0方案明列設備自動化運動控制機器視覺機械手臂與AGV整合,high,reviewed
2395,研華,EDGE_AI,邊緣AI,yes,core,PROMOTE_EXISTING_THEME,company_official,Advantech,2026-08-20,https://www.advantech.com/zh-tw/solutions/iot-edge-intelligence-solutions-and-services,官方Edge Intelligence方案明列Edge AI與工廠自動化等AIoT應用,high,reviewed
2395,研華,ROBOTICS,機器人,yes,related,PROMOTE_EXISTING_THEME,company_official,Advantech,2026-03-17,https://www.advantech.com/emt/resources/news/advantech-and-fort-robotics-collaborate-to-advance-safe-physical-ai-on-mic-735,公司官方發布機器人與AMR實際部署平台並持續擴充robotics edge AI產品,high,reviewed
2395,研華,INDUSTRIAL_IOT,工業物聯網,no,core,PROPOSE_NEW_THEME,company_official,Advantech,2026-08-20,https://www.advantech.com/zh-tw/srp/industrial-iot-solutions,官方明確提供Industrial IoT從edge intelligence到cloud平台與智慧工廠方案,high,staging_only
2395,研華,AI_VISION,AI視覺,no,related,PROPOSE_NEW_THEME,company_official,Advantech,2026-08-20,https://www.advantech.com/zh-tw/solutions/industrial-equipment-builder,官方設備方案明列AI inspection與AI AOI並以machine vision computing AI支援cobot,high,staging_only
2330,台積電,WAFER_MANUFACTURING,晶圓製造,yes,core,KEEP_EXISTING,annual_report,TSMC,2026-04-01,https://investor.tsmc.com/sites/ir/annual-report/2025/2025%20Annual%20Report_E.pdf,晶圓製造為公司核心業務且現有formal mapping已存在,high,reviewed
2330,台積電,COWOS,CoWoS,yes,core,KEEP_EXISTING,company_official,TSMC,2026-08-24,https://3dfabric.tsmc.com/english/dedicatedFoundry/technology/cowos.htm,官方3DFabric頁明確說明CoWoS先進2.5D封裝及AI HPC應用且已量產多年,high,reviewed
2330,台積電,CPO,CPO,yes,emerging,KEEP_EXISTING,company_official,TSMC,2026-04-22,https://pr.tsmc.com/english/news/3302,公司官方說明COUPE co-packaged optics方案於2026開始生產並用於AI高速互連,high,reviewed
2330,台積電,SILICON_PHOTONICS,矽光子,yes,emerging,KEEP_EXISTING,annual_report,TSMC,2026-04-01,https://investor.tsmc.com/sites/ir/annual-report/2025/2025%20Annual%20Report_E.pdf,年報說明COUPE矽光子方案與CoWoS CPO開發,high,reviewed
2330,台積電,SOIC,SoIC 3D堆疊,no,core,RESEARCH_NEW_THEME_NOT_READY,company_official,TSMC,2026-08-20,https://3dfabric.tsmc.com/schinese/dedicatedFoundry/technology/SoIC.htm,官方明確提供SoIC晶圓級3D IC堆疊平台但目前Audit尚未找到第二檔可形成市場群聚因此不直接建Theme,high,staging_only
2308,台達電,POWER_SUPPLY,電源供應器,yes,core,KEEP_EXISTING,company_official,Delta Electronics,2026-08-25,https://www.deltaww.com/zh-TW/landing/Delta-for-AI,公司AI基礎設施官方頁明列AI與高階伺服器機架式電源,high,reviewed
2308,台達電,HVDC_AI_POWER,HVDC/800V AI電源,yes,core,KEEP_EXISTING,company_official,Delta Electronics,2026-08-26,https://www.deltaww.com/en-US/landingpage/hvdc-in-ai-data-centers,官方AI資料中心頁明列正負400VDC與800VDC HVDC架構及高密度GPU電力方案,high,reviewed
2308,台達電,DATA_CENTER,資料中心,yes,core,PROMOTE_EXISTING_THEME,company_official,Delta Electronics,2026-08-25,https://www.deltaww.com/zh-TW/landing/Delta-for-AI,公司提供資料中心電力液冷DCIM與AI整合基礎設施,high,reviewed
2308,台達電,COOLING,散熱,yes,core,PROMOTE_EXISTING_THEME,company_official,Delta Electronics,2026-08-25,https://www.deltaww.com/zh-TW/landing/Delta-for-AI,官方AI方案涵蓋從資料中心設施機櫃伺服器到晶片的氣冷與液冷散熱,high,reviewed
2308,台達電,LIQUID_COOLING,液冷,yes,core,PROMOTE_EXISTING_THEME,company_official,Delta Electronics,2026-08-25,https://www.deltaww.com/zh-TW/landing/Delta-for-AI,官方明列80kW液對氣冷卻系統及完整液冷方案,high,reviewed
2308,台達電,AUTOMATION,自動化,yes,core,PROMOTE_EXISTING_THEME,company_official,Delta Electronics,2026-08-25,https://www.deltaww.com/en-US/products/Industrial-Automation,官方Industrial Automation產品線涵蓋motion control PLC machine vision robot smart equipment與軟體,high,reviewed
2308,台達電,ROBOTICS,機器人,yes,related,PROMOTE_EXISTING_THEME,company_official,Delta Electronics,2026-08-25,https://www.deltaww.com/en-US/solutions/robotics,公司具SCARA articulated modular collaborative robot與控制解決方案,high,reviewed
3481,群創,PANEL,面板,yes,core,KEEP_EXISTING,annual_report,Innolux,2026-08-01,https://financialfilings.com/filings/inx-3481/annual-report/2026/55350063/,公司仍為完整尺寸面板與顯示產品供應商且現有formal PANEL mapping成立,high,reviewed
3481,群創,FOPLP,Fan-Out Panel Level Package,no,emerging,PROPOSE_NEW_THEME,annual_report,Innolux,2026-08-01,https://financialfilings.com/filings/inx-3481/annual-report/2026/55350063/,2025年年報說明FOPLP Chip-first已量產並導入國際大廠供應鏈2026持續擴產並推進RDL-first與TGV,high,staging_only
3481,群創,AUTOMOTIVE_DISPLAY,車用顯示,no,core,PROPOSE_NEW_THEME,annual_report,Innolux,2026-08-01,https://financialfilings.com/filings/inx-3481/annual-report/2026/55350063/,公司產品線明列車用顯示並透過CarUX與Pioneer整合朝車用Tier1與智慧座艙發展,high,staging_only
3481,群創,SMART_COCKPIT,智慧座艙,no,emerging,PROPOSE_NEW_THEME,annual_report,Innolux,2026-08-01,https://financialfilings.com/filings/inx-3481/annual-report/2026/55350063/,年報明確描述CarUX結合AI與車用影音軟體打造智慧座艙並轉型全方位車用Tier1,high,staging_only
