theme_id,group_id,relationship,status
AI,AI_INFRA,core,active
AI_SERVER,AI_INFRA,core,active
DATA_CENTER,AI_INFRA,core,active
COOLING,AI_INFRA,related,active
LIQUID_COOLING,AI_INFRA,related,active
POWER,AI_INFRA,related,active
POWER_SUPPLY,AI_INFRA,core,active
UPS_BBU,AI_INFRA,related,active
HVDC_AI_POWER,AI_INFRA,core,active
HVDC_AI_POWER,ENERGY_INFRA,related,active
AI_SERVER_BBU,AI_INFRA,core,active
AI_SERVER_BBU,ENERGY_INFRA,related,active
AI_POWER_RACK,AI_INFRA,core,active
AI_POWER_RACK,ENERGY_INFRA,related,active
AI_RACK_POWER_DISTRIBUTION,AI_INFRA,core,active
AI_RACK_POWER_DISTRIBUTION,ENERGY_INFRA,related,active
COOLING,COOLING_CLUSTER,core,active
LIQUID_COOLING,COOLING_CLUSTER,core,active
PCB,PCB_CHAIN,core,active
CCL,PCB_CHAIN,core,active
ABF,PCB_CHAIN,core,active
HARD_PCB,PCB_CHAIN,core,active
FPCB,PCB_CHAIN,core,active
IC_SUBSTRATE,PCB_CHAIN,core,active
PCB_PROCESS_EQUIPMENT,PCB_CHAIN,core,active
PCB_GLASS_FIBER,PCB_CHAIN,core,active
PCB_COPPER_FOIL,PCB_CHAIN,core,active
SEMICONDUCTOR,SEMICONDUCTOR_SUPPLY,related,active
SEMICONDUCTOR_EQUIPMENT,SEMICONDUCTOR_SUPPLY,core,active
SEMICONDUCTOR_MATERIALS,SEMICONDUCTOR_SUPPLY,core,active
IC_DESIGN_SERVICE,SEMICONDUCTOR_SUPPLY,core,active
WAFER_MANUFACTURING,SEMICONDUCTOR_SUPPLY,core,active
IC_PACKAGING_TEST,SEMICONDUCTOR_SUPPLY,core,active
MEMORY_IC,SEMICONDUCTOR_SUPPLY,core,active
MCU_IC,SEMICONDUCTOR_SUPPLY,core,active
PMIC,SEMICONDUCTOR_SUPPLY,core,active
ADV_PACKAGING,ADV_PACKAGING_CHAIN,core,active
COWOS,ADV_PACKAGING_CHAIN,core,active
IC_SUBSTRATE,ADV_PACKAGING_CHAIN,related,active
IC_PACKAGING_TEST,ADV_PACKAGING_CHAIN,related,active
MEMORY,MEMORY_CHAIN,core,active
MEMORY_IC,MEMORY_CHAIN,core,active
HBM,MEMORY_CHAIN,core,active
CPO,OPTICAL_INTERCONNECT,core,active
SILICON_PHOTONICS,OPTICAL_INTERCONNECT,core,active
OPTICAL_COMMUNICATION,OPTICAL_INTERCONNECT,core,active
OPTICAL_COMMUNICATION,DIGITAL_INFRA,related,active
CPO,DIGITAL_INFRA,related,active
SILICON_PHOTONICS,DIGITAL_INFRA,related,active
ROBOTICS,ROBOTICS_CHAIN,core,active
ROBOT_VISION,ROBOTICS_CHAIN,core,active
ROBOT_COMPONENTS,ROBOTICS_CHAIN,core,active
AUTOMATION,ROBOTICS_CHAIN,related,active
MECHANICAL_TRANSMISSION,ROBOTICS_CHAIN,core,active
MECHANICAL_TRANSMISSION,TRADITIONAL_INDUSTRY,related,active
INDUSTRIAL_CONTROL_COMPONENTS,ROBOTICS_CHAIN,core,active
INDUSTRIAL_CONTROL_COMPONENTS,ELECTRONICS_CORE,related,active
EDGE_AI,AI_EDGE,core,active
INDUSTRIAL_PC,AI_EDGE,core,active
INDUSTRIAL_PC,DIGITAL_INFRA,related,active
DATA_CENTER,DIGITAL_INFRA,related,active
BIG_DATA,DIGITAL_INFRA,related,active
COMMUNICATION_NETWORK,DIGITAL_INFRA,core,active
EDGE_AI,DIGITAL_INFRA,related,active
CLOUD_COMPUTING,DIGITAL_INFRA,core,active
SYSTEM_INTEGRATION,DIGITAL_INFRA,related,active
CYBERSECURITY,DIGITAL_INFRA,related,active
CYBERSECURITY,SOFTWARE_CLOUD,core,active
CLOUD_COMPUTING,SOFTWARE_CLOUD,core,active
SYSTEM_INTEGRATION,SOFTWARE_CLOUD,core,active
BIG_DATA,SOFTWARE_CLOUD,related,active
HEAVY_ELECTRICAL,ENERGY_INFRA,core,active
GREEN_ENERGY,ENERGY_INFRA,related,active
SOLAR,ENERGY_INFRA,related,active
ENERGY_STORAGE,ENERGY_INFRA,related,active
BATTERY_CELL,ENERGY_INFRA,related,active
BATTERY_MODULE,ENERGY_INFRA,related,active
SMART_GRID,ENERGY_INFRA,core,active
SMART_METER,ENERGY_INFRA,related,active
ENERGY_MANAGEMENT,ENERGY_INFRA,related,active
WIND_POWER,ENERGY_INFRA,related,active
WIND_EQUIPMENT,ENERGY_INFRA,related,active
WIND_SERVICE,ENERGY_INFRA,related,active
WIND_OPERATION,ENERGY_INFRA,related,active
UPS_BBU,ENERGY_INFRA,related,active
SMART_GRID,SMART_GRID_CLUSTER,core,active
SMART_METER,SMART_GRID_CLUSTER,core,active
ENERGY_MANAGEMENT,SMART_GRID_CLUSTER,core,active
WIND_POWER,WIND_POWER_CLUSTER,core,active
WIND_EQUIPMENT,WIND_POWER_CLUSTER,core,active
WIND_SERVICE,WIND_POWER_CLUSTER,core,active
WIND_OPERATION,WIND_POWER_CLUSTER,core,active
DEFENSE,DEFENSE_AERO,core,active
AEROSPACE,DEFENSE_AERO,core,active
SATELLITE,DEFENSE_AERO,related,active
LOW_ORBIT_SATELLITE,DEFENSE_AERO,related,active
SATELLITE,DIGITAL_INFRA,related,active
LOW_ORBIT_SATELLITE,DIGITAL_INFRA,related,active
SHIPPING,SHIPPING_CLUSTER,core,active
CONTAINER_SHIPPING,SHIPPING_CLUSTER,core,active
BULK_SHIPPING,SHIPPING_CLUSTER,core,active
BIOTECH,BIOTECH_CLUSTER,core,active
PASSIVE,PASSIVE_CLUSTER,core,active
RESISTOR,PASSIVE_CLUSTER,core,active
CAPACITOR,PASSIVE_CLUSTER,core,active
INDUCTOR,PASSIVE_CLUSTER,core,active
FILTER_OSCILLATOR,PASSIVE_CLUSTER,core,active
EV,SMART_MOBILITY,core,active
EV_BATTERY_MATERIALS,SMART_MOBILITY,core,active
EV_COMPONENTS,SMART_MOBILITY,core,active
EV_VEHICLE,SMART_MOBILITY,core,active
EV_BATTERY_MATERIALS,ENERGY_INFRA,related,active
CONNECTOR,CONNECTOR_CLUSTER,core,active
AI_SERVER_CONNECTOR,CONNECTOR_CLUSTER,core,active
HIGH_SPEED_CONNECTOR,CONNECTOR_CLUSTER,core,active
HIGH_POWER_CONNECTOR,CONNECTOR_CLUSTER,core,active
AUTOMOTIVE_CONNECTOR,CONNECTOR_CLUSTER,core,active
VEHICLE_WIRE_HARNESS,CONNECTOR_CLUSTER,core,active
AI_SERVER_CONNECTOR,AI_INFRA,related,active
HIGH_SPEED_CONNECTOR,DIGITAL_INFRA,related,active
HIGH_POWER_CONNECTOR,AI_INFRA,related,active
AUTOMOTIVE_CONNECTOR,SMART_MOBILITY,core,active
VEHICLE_WIRE_HARNESS,SMART_MOBILITY,core,active
CONNECTOR,DIGITAL_INFRA,related,active
CONNECTOR,SMART_MOBILITY,related,active
FOOD,TRADITIONAL_INDUSTRY,core,active
PLASTICS,TRADITIONAL_INDUSTRY,core,active
TEXTILE,TRADITIONAL_INDUSTRY,core,active
MACHINERY,TRADITIONAL_INDUSTRY,core,active
STEEL,TRADITIONAL_INDUSTRY,core,active
CONSTRUCTION,TRADITIONAL_INDUSTRY,core,active
OPTOELECTRONICS,ELECTRONICS_CORE,core,active
ELECTRONIC_COMPONENTS,ELECTRONICS_CORE,core,active
COMPUTER_PERIPHERALS,ELECTRONICS_CORE,core,active
PANEL,DISPLAY_CLUSTER,core,active
DISPLAY_MODULE,DISPLAY_CLUSTER,core,active
BACKLIGHT_MODULE,DISPLAY_CLUSTER,core,active
LED,DISPLAY_CLUSTER,core,active
PANEL,ELECTRONICS_CORE,related,active
DISPLAY_MODULE,ELECTRONICS_CORE,related,active
BACKLIGHT_MODULE,ELECTRONICS_CORE,related,active
LED,ELECTRONICS_CORE,related,active
OPTOELECTRONICS,DIGITAL_INFRA,related,active
ELECTRONIC_COMPONENTS,DIGITAL_INFRA,related,active
COMPUTER_PERIPHERALS,DIGITAL_INFRA,related,active
AUTOMOTIVE,SMART_MOBILITY,related,active
CHEMICAL,TRADITIONAL_INDUSTRY,related,active
FINANCE,FINANCE_CLUSTER,core,active
TOURISM,CONSUMER_SERVICES,core,active
RETAIL,CONSUMER_SERVICES,core,active
ELECTRONIC_DISTRIBUTION,ELECTRONICS_CORE,related,active
ELECTRONIC_DISTRIBUTION,DIGITAL_INFRA,related,active
HOME_LIVING,CONSUMER_SERVICES,core,active
CULTURAL_CREATIVE,CONSUMER_SERVICES,core,active
SPORTS_LEISURE,CONSUMER_SERVICES,core,active
DIGITAL_CLOUD,DIGITAL_INFRA,core,active
DIGITAL_CLOUD,SOFTWARE_CLOUD,related,active
INFORMATION_SERVICES,DIGITAL_INFRA,core,active
INFORMATION_SERVICES,SOFTWARE_CLOUD,core,active
OIL_GAS,TRADITIONAL_INDUSTRY,related,active
ROBOT_BODY_PLATFORM,ROBOTICS_CHAIN,core,active
ROBOT_CONTROL_SYSTEM,ROBOTICS_CHAIN,core,active
ROBOT_EDGE_AI,ROBOTICS_CHAIN,core,active
ROBOT_AMR,ROBOTICS_CHAIN,core,active
ROBOT_SYSTEM_INTEGRATION,ROBOTICS_CHAIN,core,active
ROBOT_TRANSMISSION,ROBOTICS_CHAIN,core,active
ROBOT_ACTUATION,ROBOTICS_CHAIN,core,active
ROBOT_END_EFFECTOR,ROBOTICS_CHAIN,core,active
AI_COLD_PLATE_CDU,AI_INFRA,core,active
AI_RACK_SYSTEM,AI_INFRA,core,active
