stock_id,company,market_eligibility,theme_id,theme_name,proposed_role,source_type,publisher,published_date,source_url,evidence_summary,confidence,research_status,user_review_status,user_decision,user_note
8234,新漢,listed_otc,ROBOT_CONTROL_SYSTEM,機器人控制系統,core,company_official,NEXCOM,,https://www.aiotmart.nexcom.com/faq.php?lang=tw&tb=1,官方資料直接列出工業機器人控制器產品與應用,high,evidence_ready,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
8234,新漢,listed_otc,ROBOT_EDGE_AI,機器人邊緣AI,core,company_official,NEXCOM,,https://www.aiotmart.nexcom.com/faq.php?lang=tw&tb=1,官方資料明列AI邊緣運算電腦並用於機器人場域,high,evidence_ready,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
8234,新漢,listed_otc,ROBOT_AMR,AMR／自主移動機器人,related,company_official,NEXCOM,,https://www.aiotmart.nexcom.com/faq.php?lang=tw&tb=1,官方資料明列自主移動機器人應用,high,evidence_ready,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
2359,所羅門,listed_otc,ROBOT_SYSTEM_INTEGRATION,機器人系統整合,core,company_official,Solomon,2026-08-20,https://www.solomon.com.tw/products/,官方產品頁涵蓋機械手臂應用自動化控制與AI視覺整合,high,evidence_ready,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
2359,所羅門,listed_otc,ROBOT_AMR,AMR／自主移動機器人,related,annual_report,Solomon,2025-11-01,https://www.solomon.com.tw/wp-content/uploads/2025/11/2024-STC-Corporate-Sustainability-Report_EN.pdf,官方報告說明AI視覺整合多品牌機器人與AMR,high,evidence_ready,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
2395,研華,listed_otc,ROBOT_EDGE_AI,機器人邊緣AI,core,company_official,Advantech,2026-03-17,https://www.advantech.com/emt/resources/news/advantech-and-fort-robotics-collaborate-to-advance-safe-physical-ai-on-mic-735,官方發布robotics edge AI產品及安全Physical AI運算平台,high,evidence_ready,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
2395,研華,listed_otc,ROBOT_AMR,AMR／自主移動機器人,related,company_official,Advantech,2026-03-17,https://www.advantech.com/emt/resources/news/advantech-and-fort-robotics-collaborate-to-advance-safe-physical-ai-on-mic-735,官方資料支持機器人與AMR實際部署平台,high,evidence_ready,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
2395,研華,listed_otc,ROBOT_SYSTEM_INTEGRATION,機器人系統整合,related,company_official,Advantech,2026-08-20,https://www.advantech.com/zh-tw/industrial-automation/industry4.0/,官方工業4.0方案涵蓋運動控制機器視覺機械手臂與AGV整合,high,evidence_ready,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
2308,台達電,listed_otc,ROBOT_BODY_PLATFORM,機器人本體／平台,core,company_official,Delta,2026-08-25,https://www.deltaww.com/en-US/solutions/robotics,官方具SCARA關節型模組化與協作機器人產品,high,evidence_ready,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
2308,台達電,listed_otc,ROBOT_CONTROL_SYSTEM,機器人控制系統,core,company_official,Delta,2026-08-25,https://www.deltaww.com/en-US/solutions/robotics,官方機器人方案包含控制器與完整控制解決方案,high,evidence_ready,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
2308,台達電,listed_otc,ROBOT_SYSTEM_INTEGRATION,機器人系統整合,related,company_official,Delta,2026-08-25,https://www.deltaww.com/en-US/solutions/robotics,官方提供機器人本體控制與自動化整合方案,high,evidence_ready,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
2049,上銀,listed_otc,ROBOT_ACTUATION,機器人致動／關節模組,core,company_official,HIWIN,2026-06-02,https://www.hiwin.tw/news_content.aspx?newsID=25581,官方明列精密致動模組與人形機器人核心模組,high,evidence_ready,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
2049,上銀,listed_otc,ROBOT_TRANSMISSION,機器人傳動／減速機,core,company_official,HIWIN,2026-06-02,https://www.hiwin.tw/news_content.aspx?newsID=25581,官方資料支持機器人用精密傳動產品與模組,high,evidence_ready,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
2049,上銀,listed_otc,ROBOT_CONTROL_SYSTEM,機器人控制系統,related,company_official,HIWIN,2026-08-19,https://www.hiwin.tw/news_content.aspx?newsID=25594,官方揭露人形機器人關鍵控制與驅動元件,high,evidence_ready,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
2049,上銀,listed_otc,ROBOT_END_EFFECTOR,機器人末端執行器,related,company_official,HIWIN,2026-06-02,https://www.hiwin.tw/news_content.aspx?newsID=25581,官方明列智慧夾爪與雙臂物流機器人應用,high,evidence_ready,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
1597,直得,listed_otc,ROBOT_TRANSMISSION,機器人傳動／減速機,core,company_official,Chieftek Precision,2026-08-19,https://chieftek.com/zh-hant/products/linear-guide-series/,官方線性滑軌產品明列機器人應用,high,evidence_ready,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
1597,直得,listed_otc,ROBOT_ACTUATION,機器人致動／關節模組,core,company_official,Chieftek Precision,2026-08-19,https://chieftek.com/zh-hant/products/linear-guide-series/,官方產品線包含伺服馬達驅動器與多軸模組,high,evidence_ready,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
1597,直得,listed_otc,ROBOT_CONTROL_SYSTEM,機器人控制系統,related,company_official,Chieftek Precision,2026-08-19,https://chieftek.com/zh-hant/products/linear-guide-series/,官方產品線具機器人運動控制相關驅動與多軸模組,high,evidence_ready,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
1597,直得,listed_otc,ROBOT_BODY_PLATFORM,機器人本體／平台,related,company_official,Chieftek Precision,2026-08-19,https://chieftek.com/zh-hant/products/linear-guide-series/,官方產品線包含微型六軸機械手臂,high,evidence_ready,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
4540,全球傳動,listed_otc,ROBOT_TRANSMISSION,機器人傳動／減速機,core,financial_media,MoneyDJ,2026-08-17,https://www.moneydj.com/kmdj/news/newsviewer.aspx?a=f933aeee-bc0c-4797-afe8-fcebf6f04cbf,具體報導公司布局人形機器人用微型滾珠螺桿,medium_high,second_source_confirmed,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
4540,全球傳動,listed_otc,ROBOT_ACTUATION,機器人致動／關節模組,core,financial_media,MoneyDJ,2026-08-17,https://www.moneydj.com/kmdj/news/newsviewer.aspx?a=f933aeee-bc0c-4797-afe8-fcebf6f04cbf,具體報導公司布局人形機器人上肢與下肢線性執行器,medium_high,second_source_confirmed,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
4540,全球傳動,listed_otc,ROBOT_END_EFFECTOR,機器人末端執行器,emerging,financial_media,MoneyDJ,2026-08-17,https://www.moneydj.com/kmdj/news/newsviewer.aspx?a=f933aeee-bc0c-4797-afe8-fcebf6f04cbf,具體報導公司布局靈巧手用微型滾珠螺桿,medium_high,second_source_confirmed,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
6215,和椿,listed_otc,ROBOT_SYSTEM_INTEGRATION,機器人系統整合,core,financial_media,MoneyDJ,2025-07-23,https://www.moneydj.com/kmdj/news/newsviewer.aspx?a=f8ef0767-9959-4067-9166-cb8abf276e80,報導支持人形機器人AMR與智慧工廠流程整合商定位,medium_high,second_source_confirmed,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
6215,和椿,listed_otc,ROBOT_AMR,AMR／自主移動機器人,core,financial_media,MoneyDJ,2025-07-23,https://www.moneydj.com/kmdj/news/newsviewer.aspx?a=f8ef0767-9959-4067-9166-cb8abf276e80,報導具體列出AMR無人堆高機應用,medium_high,second_source_confirmed,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
6215,和椿,listed_otc,ROBOT_BODY_PLATFORM,機器人本體／平台,related,financial_media,MoneyDJ,2025-07-23,https://www.moneydj.com/kmdj/news/newsviewer.aspx?a=f8ef0767-9959-4067-9166-cb8abf276e80,報導指出公司展出多款人形機器人實績,medium_high,second_source_confirmed,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
7750,新代,listed_otc,ROBOT_CONTROL_SYSTEM,機器人控制系統,core,financial_media,MoneyDJ,2026-08-17,https://www.moneydj.com/kmdj/news/newsviewer.aspx?a=f933aeee-bc0c-4797-afe8-fcebf6f04cbf,報導定位為控制器大廠並展示機器人產品與方案,medium_high,second_source_confirmed,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
8374,羅昇,listed_otc,ROBOT_SYSTEM_INTEGRATION,機器人系統整合,core,financial_media,MoneyDJ,2026-08-17,https://www.moneydj.com/kmdj/news/newsviewer.aspx?a=f933aeee-bc0c-4797-afe8-fcebf6f04cbf,報導定位為自動化解決方案廠及機器人應用供應商,medium_high,second_source_confirmed,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
4576,大銀微系統,listed_otc,ROBOT_ACTUATION,機器人致動／關節模組,core,financial_media,經濟日報,2026-01-15,https://money.udn.com/money/story/11162/9265994,報導定位為AI機器人驅動系統供應商並展示人形機器人關鍵元件,medium_high,second_source_confirmed,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
4585,達明,listed_otc,ROBOT_BODY_PLATFORM,機器人本體／平台,core,company_official,達明機器人,,https://www2.tm-robot.com/zh-hant/company-profile/,官方定位為協作機器人品牌與生產商,high,evidence_ready,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
4585,達明,listed_otc,ROBOT_SYSTEM_INTEGRATION,機器人系統整合,related,company_official,達明機器人,,https://www2.tm-robot.com/zh-hant/company-profile/,官方提供內建視覺協作型機器人與智慧工廠解決方案,high,evidence_ready,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
1536,和大,listed_otc,ROBOT_TRANSMISSION,機器人傳動／減速機,emerging,investor_conference,和大工業2026Q3法說,,https://www.hota.com.tw/stockholder.html,法說資料明列人形機器人用諧波減速器與行星減速器及關節應用,high,evidence_ready,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
2464,盟立,listed_otc,ROBOT_BODY_PLATFORM,機器人本體／平台,core,company_official,Mirle Automation,2026-01-19,https://www.mirle.com.tw/news-detail/661/,官方具身智能事業群明列輪型與四足機器人平台及量產規劃,high,evidence_ready,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
2464,盟立,listed_otc,ROBOT_CONTROL_SYSTEM,機器人控制系統,core,company_official,Mirle Automation,2026-01-19,https://www.mirle.com.tw/news-detail/661/,官方明列自主運動控制與AI感知能力,high,evidence_ready,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
2464,盟立,listed_otc,ROBOT_ACTUATION,機器人致動／關節模組,related,company_official,Mirle Automation,2026-01-19,https://www.mirle.com.tw/news-detail/661/,官方揭露自製機器人關節模組,high,evidence_ready,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
2464,盟立,listed_otc,ROBOT_TRANSMISSION,機器人傳動／減速機,related,company_official,Mirle Automation,2026-01-19,https://www.mirle.com.tw/news-detail/661/,官方揭露自製精密諧波減速機,high,evidence_ready,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
2464,盟立,listed_otc,ROBOT_AMR,AMR／自主移動機器人,related,company_official,Mirle Automation,2026-01-19,https://www.mirle.com.tw/news-detail/661/,官方輪型機器人平台結合自主運動控制能力,high,evidence_ready,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
1504,東元,listed_otc,ROBOT_ACTUATION,機器人致動／關節模組,core,company_official,TECO,2026-07-15,https://www.teco.com.tw/zh-tw/press/news/dong-yuan-xie-zhi-hui-dong-li-jie-jue-fang-an-qian-jin-ri-ben-TJM-Series-quan-ji-lie-ji-qi-ren-guan-jie-mo-zu-shou-du-wan-zheng-liang-xiang,官方TJM Series機器人關節模組明確應用機械手臂四足及人形機器人,high,evidence_ready,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
7942,東佑達,emerging_watch,ROBOT_BODY_PLATFORM,機器人本體／平台,core,company_official,TOYO ROBOT,2026-08-31,https://www.toyorobot.com/,官方產品涵蓋單軸多軸線性與桌上型機器人,high,evidence_ready,market_ineligible_watch,,
7942,東佑達,emerging_watch,ROBOT_TRANSMISSION,機器人傳動／減速機,core,company_official,TOYO ROBOT,2026-08-31,https://www.toyorobot.com/,官方產品包含精密線性傳動與線性機器人產品,high,evidence_ready,market_ineligible_watch,,
7942,東佑達,emerging_watch,ROBOT_ACTUATION,機器人致動／關節模組,related,company_official,TOYO ROBOT,2026-08-31,https://www.toyorobot.com/,官方產品涵蓋電動缸多軸模組與機器人致動產品,high,evidence_ready,market_ineligible_watch,,
7942,東佑達,emerging_watch,ROBOT_END_EFFECTOR,機器人末端執行器,related,company_official,TOYO ROBOT,2026-08-31,https://www.toyorobot.com/,官方產品明列電動夾爪,high,evidence_ready,market_ineligible_watch,,
4590,富田,listed_otc,ROBOT_ACTUATION,機器人致動／關節模組,core,company_official,FUKUTA,2026-08-31,https://www.fukuta-motor.com.tw/tw/support.html,官方直接列出機器人與機器狗關節馬達及高扭矩密度小型馬達,high,evidence_ready,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
