theme_id,theme_name,industry_code,status,description,source_ref
BASE_01,水泥工業,01,active,官方產業基礎Theme,https://www.twse.com.tw/
BASE_02,食品工業,02,active,官方產業基礎Theme,https://www.twse.com.tw/
BASE_03,塑膠工業,03,active,官方產業基礎Theme,https://www.twse.com.tw/
BASE_04,紡織纖維,04,active,官方產業基礎Theme,https://www.twse.com.tw/
BASE_05,電機機械,05,active,官方產業基礎Theme,https://www.twse.com.tw/
BASE_06,電器電纜,06,active,官方產業基礎Theme,https://www.twse.com.tw/
BASE_08,玻璃陶瓷,08,active,官方產業基礎Theme,https://www.twse.com.tw/
BASE_09,造紙工業,09,active,官方產業基礎Theme,https://www.twse.com.tw/
BASE_10,鋼鐵工業,10,active,官方產業基礎Theme,https://www.twse.com.tw/
BASE_11,橡膠工業,11,active,官方產業基礎Theme,https://www.twse.com.tw/
BASE_12,汽車工業,12,active,官方產業基礎Theme,https://www.twse.com.tw/
BASE_14,建材營造,14,active,官方產業基礎Theme,https://www.twse.com.tw/
BASE_15,航運業,15,active,官方產業基礎Theme,https://www.twse.com.tw/
BASE_16,觀光餐旅,16,active,官方產業基礎Theme,https://www.twse.com.tw/
BASE_17,金融保險,17,active,官方產業基礎Theme,https://www.twse.com.tw/
BASE_18,貿易百貨,18,active,官方產業基礎Theme,https://www.twse.com.tw/
BASE_19,綜合,19,active,官方產業基礎Theme,https://www.twse.com.tw/
BASE_20,其他,20,active,官方產業基礎Theme,https://www.twse.com.tw/
BASE_21,化學工業,21,active,官方產業基礎Theme,https://www.twse.com.tw/
BASE_22,生技醫療,22,active,官方產業基礎Theme,https://www.twse.com.tw/
BASE_23,油電燃氣業,23,active,官方產業基礎Theme,https://www.twse.com.tw/
BASE_24,半導體業,24,active,官方產業基礎Theme,https://www.twse.com.tw/
BASE_25,電腦及週邊設備業,25,active,官方產業基礎Theme,https://www.twse.com.tw/
BASE_26,光電業,26,active,官方產業基礎Theme,https://www.twse.com.tw/
BASE_27,通信網路業,27,active,官方產業基礎Theme,https://www.twse.com.tw/
BASE_28,電子零組件業,28,active,官方產業基礎Theme,https://www.twse.com.tw/
BASE_29,電子通路業,29,active,官方產業基礎Theme,https://www.twse.com.tw/
BASE_30,資訊服務業,30,active,官方產業基礎Theme,https://www.twse.com.tw/
BASE_31,其他電子業,31,active,官方產業基礎Theme,https://www.twse.com.tw/
BASE_32,文化創意業,32,active,官方產業基礎Theme,https://www.tpex.org.tw/
BASE_33,農業科技業,33,active,官方產業基礎Theme,https://www.tpex.org.tw/
BASE_35,綠能環保,35,active,官方產業基礎Theme,https://www.twse.com.tw/
BASE_36,數位雲端,36,active,官方產業基礎Theme,https://www.twse.com.tw/
BASE_37,運動休閒,37,active,官方產業基礎Theme,https://www.twse.com.tw/
BASE_38,居家生活,38,active,官方產業基礎Theme,https://www.twse.com.tw/
