stock_id,company,coverage_layer,current_state,primary_robotics_role,coverage_note,next_action
8234,新漢,formal,active_approved,core,正式stock_theme_map已有ROBOTICS且官方資料明列工業機器人控制器與AMR,keep_and_revalidate
2359,所羅門,formal,active_approved,core,正式stock_theme_map已有ROBOTICS且官方資料支持AI 3D視覺與機器人平台整合,keep_and_revalidate
2395,研華,formal,active_approved,related,正式stock_theme_map已有ROBOTICS且官方資料支持機器人AMR與robotics edge AI平台,keep_and_revalidate
2308,台達電,formal,active_approved,related,正式stock_theme_map已有ROBOTICS且官方資料支持SCARA關節型模組化與協作機器人方案,keep_and_revalidate
2049,上銀,formal,active_approved,core,人形機器人控制驅動與核心零組件證據完整,keep_and_revalidate
1597,直得,formal,active_approved,core,機器人傳動與運動控制零組件且具六軸機械手臂,keep_and_revalidate
4540,全球傳動,formal,active_approved,core,人形機器人線性執行器與微型滾珠螺桿,keep_and_revalidate
6215,和椿,formal,active_approved,core,機器人解決方案整合與人形機器人AMR實績,keep_and_revalidate
7750,新代,formal,active_approved,related,控制器與機器人智慧自動化方案,keep_and_revalidate
8374,羅昇,formal,active_approved,related,自動化解決方案與機器人應用供應鏈,keep_and_revalidate
4555,氣立,formal,active_approved,related,氣動元件與機器人自動化應用,keep_and_revalidate
4576,大銀微系統,formal,active_approved,core,AI機器人驅動系統與人形機器人關鍵元件,keep_and_revalidate
4585,達明,formal,active_approved,core,協作機器人整機與品牌業務且第二來源已補,keep_and_revalidate
6570,維田,formal,active_approved,related,AI機器視覺與機器人視覺應用且第二來源已補,keep_and_revalidate
4566,時碩工業,formal,active_approved,related,人形機器人精密金屬與零組件布局且第二來源已補,keep_and_revalidate
1536,和大,formal,active_approved,emerging,人形機器人減速機送樣與新事業布局且第二來源已補,keep_and_revalidate
2464,盟立,formal,active_approved,core,具身智能事業群涵蓋機器人整機平台關節模組與減速機並規劃量產,keep_and_revalidate
1504,東元,formal,active_approved,related,官方TJM Series機器人關節模組明確應用機械手臂四足與人形機器人,keep_and_revalidate
7942,東佑達,staging,user_approved_not_market_eligible,core,官方TOYO ROBOT產品線涵蓋單軸多軸線性與桌上型機器人及電動夾爪；目前為興櫃且不在上市上櫃股池,monitor_market_eligibility
4590,富田,formal,active_approved,related,官方產品頁直接列出機器人與機器狗關節馬達並說明機器人用高扭矩密度小型馬達,keep_and_revalidate
5443,均豪,formal,active_approved,related,官方智慧物流頁明列Mobile Robot與機器人彈性加工系統且已導入晶圓及封裝客戶,keep_and_revalidate
4571,鈞興-KY,formal,active_approved,emerging,正式公開說明書支持機器人諧波減速機與小批量訂單且2026資料確認機器人齒輪已出貨,keep_and_revalidate
2233,宇隆,formal,active_approved,emerging,2026法說報導確認持續朝減速機與人形機器人新事業轉型,keep_and_revalidate
4583,台灣精銳,formal,active_approved,related,官方園區資料明列行星齒輪減速機伺服驅動系統與工業用機器人,keep_and_revalidate
2392,正崴,formal,active_approved,related,正崴官網明列集團旗下星科AI機器人事業並提供集團資源與製造場域符合母子公司歸屬政策,keep_and_revalidate
6166,凌華,formal,active_approved,related,官方Industrial Robotics頁涵蓋AMR四足人形機器人Edge AI且展示Moby人形機器人,keep_and_revalidate
2317,鴻海,formal,active_approved,core,官方展示自研工業人形機器人並與NVIDIA合作且已進製造場域部署,keep_and_revalidate
